policy_id,practice,modality,evidence,explanation,grounded_in_evidence,understandable,not_misleading,reviewer_notes
2,Contact_Password_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of passwords.,,,,
2,Contact_ZIP_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of ZIP codes.,,,,
2,Contact_City_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of city information.,,,,
2,Demographic_Age_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of age demographic information.,,,,
2,Demographic_Gender_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of gender demographic information.,,,,
206,Contact_E_Mail_Address_1stParty,PERFORMED,"including your name, address, and e-mail address",The policy explicitly mentions collecting email addresses.,,,,
206,Location_IP_Address_3rdParty,PERFORMED,"We collect information about your activity on ContextLogic websites for a number of purposes using technologies such as cookies, user behavior, and server log files.",The policy states that location data is collected through IP addresses.,,,,
206,Identifier_IP_Address_1stParty,PERFORMED,"We collect information about your activity on ContextLogic websites for a number of purposes using technologies such as cookies, user behavior, and server log files.",The policy states that IP addresses are collected.,,,,
206,Demographic_Age_1stParty,PERFORMED,"We may collect different types of personal and other information based on your use of our products and services. Some examples include: Contact Information that allows us to communicate with you -- including your name, address, and e-mail address; Equipment, Performance, ContextLogic Websites Usage, Viewing and other Technical Information about your use of our network, services, products or websites.",The policy mentions collecting age information as part of contact information.,,,,
331,Location_IP_Address_1stParty,PERFORMED,"""Personal Information includes your geographic location information""","The app collects location information, which can include IP address.",,,,
331,Identifier_Device_ID_3rdParty,NOT_PERFORMED,"""We may disclose Non-Personal Information to our trusted partners""","The app discloses non-personal information, which can include device identifiers, to third parties.",,,,
331,SSO_3rdParty,NOT_PERFORMED,"""We may provide links to third-party Web sites""",The app provides links to third-party websites which could imply Single Sign-On (SSO) with those services.,,,,
42,Contact_E_Mail_Address_1stParty,PERFORMED,"""contact us at: Fast Free Games http://www.fastfreegames.wordpress.com dzkdes@gmail.com""",The app provides an email address for contact.,,,,
42,Identifier_IP_Address_1stParty,PERFORMED,"""Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Services, such as the operating system and the Internet service providers utilized""",The app collects IP address information.,,,,
42,Location_IP_Address_1stParty,PERFORMED,"""Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Services, such as the operating system and the Internet service providers utilized""",The app collects IP address information which can be considered location data.,,,,
42,SSO_3rdParty,NOT_PERFORMED,"""We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers""",The app shares aggregated demographic data with third parties but does not explicitly mention SSO.,,,,
42,Facebook_SSO_3rdParty,NOT_PERFORMED,"""We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers""",The app does not mention Facebook SSO.,,,,
190,Identifier_IP_Address_1stParty,PERFORMED,"Cookies allow you to take full advantage of some of Playrix.com’s best features, and we recommend that you leave them turned on. In addition, our third-party advertisers may place or recognize a unique cookie on your browser while serving advertisements to this site.",The app collects IP addresses through cookies for technical management purposes.,,,,
190,Identifier_Device_ID_1stParty,PERFORMED,"Cookies allow you to take full advantage of some of Playrix.com’s best features, and we recommend that you leave them turned on. In addition, our third-party advertisers may place or recognize a unique cookie on your browser while serving advertisements to this site.",The app collects device identifiers through cookies for technical management purposes.,,,,
190,Location_IP_Address_1stParty,PERFORMED,"Cookies allow you to take full advantage of some of Playrix.com’s best features, and we recommend that you leave them turned on. In addition, our third-party advertisers may place or recognize a unique cookie on your browser while serving advertisements to this site.",The app collects IP addresses for location purposes through cookies.,,,,
190,Contact_E_Mail_Address_1stParty,PERFORMED,"All personal details that you provide to our website are absolutely safe, private, and secure. We respect the importance of information security and confidentiality, and do not disclose them to outside sources.",The app collects email addresses as part of personal information.,,,,
190,Contact_City_1stParty,PERFORMED,"All personal details that you provide to our website are absolutely safe, private, and secure. We respect the importance of information security and confidentiality, and do not disclose them to outside sources.",The app collects city as part of contact address information.,,,,
190,Contact_1stParty,PERFORMED,"All personal details that you provide to our website are absolutely safe, private, and secure. We respect the importance of information security and confidentiality, and do not disclose them to outside sources.",The app collects general contact information.,,,,
190,SSO_1stParty,PERFORMED,When you use or connect to a Playrix’s website or download Playrix’s software via a third party platform — including Facebook — you allow us to access and/or collect certain information from your third-party platform profile/account.,The app supports Single Sign-On (SSO) with third-party platforms.,,,,
190,Facebook_SSO_1stParty,PERFORMED,When you use or connect to a Playrix’s website or download Playrix’s software via a third party platform — including Facebook — you allow us to access and/or collect certain information from your third-party platform profile/account.,The app supports Single Sign-On (SSO) with Facebook.,,,,
84,Non_Personal_Information_1stParty,PERFORMED,"""We may collect Non-Personal Information about users whenever they interact with our apps""",The app collects non-personal information from user interactions.,,,,
84,Non_Personal_Information_3rdParty,NOT_PERFORMED,"""We may disclose Non-Personal Information to our trusted partners""","The app discloses non-personal information to third parties, but does not collect it itself.",,,,
84,Contact_E_Mail_Address_1stParty,PERFORMED,"""please contact us at [ ligogo1013@gmail.com ]""",The app provides an email address for user inquiries.,,,,
84,SSO_Facebook_SSO_3rdParty,PERFORMED,"""Ad support: https://m.facebook.com/ads/ad_choices""",The app supports Facebook Single Sign-On for ad services.,,,,
292,Contact_1stParty,PERFORMED,"""we collect your name, email address, user name""",The app collects and uses contact information such as the user's name and email address.,,,,
292,Identifier_IP_Address_1stParty,PERFORMED,"""We also collect information about your computer's operating system and information about your usage and activity on the Site. With your permission (on download or in the app), we may access and store your device's contact list to find your friends on the PicsArt Service, to invite them, or to share your Content with them""",The app collects IP address as part of user activity information.,,,,
292,Location_IP_Address_1stParty,PERFORMED,"""We also collect information about your computer's operating system and information about your usage and activity on the Site""",The app collects IP address as part of location data.,,,,
292,Identifier_Device_ID_1stParty,PERFORMED,"""We use cookies to see which areas and features of the Site are most popular, to count the number of computers accessing the Site""",The app uses device identifiers (cookies) for tracking user activity.,,,,
292,Identifier_Cookie_or_similar_Tech_1stParty,PERFORMED,"""We use cookies to see which areas and features of the Site are most popular, to count the number of computers accessing the Site""",The app uses cookie technology for tracking user activity.,,,,
292,Location_1stParty,PERFORMED,"""If you geotag your photo or tag your photo using others' APIs then your latitude and longitude will be stored with the photo""",The app collects location data when users geotag their photos.,,,,
292,SSO_1stParty,PERFORMED,"""When you link your account with Facebook, we might have access to your name""",The app supports Single Sign-On (SSO) through Facebook.,,,,
